Date,Close
2023-01-01,150.23
2023-01-02,151.35
2023-01-03,152.17
2023-01-04,150.5
2023-01-05,149.8
2023-01-06,150.12
2023-01-07,151.01
2023-01-08,152.4
2023-01-09,153.22
2023-01-10,154.18
2023-01-11,155.03
2023-01-12,154.89
2023-01-13,153.77
2023-01-14,152.65
2023-01-15,151.9
2023-01-16,152.2
2023-01-17,153.0
2023-01-18,153.55
2023-01-19,154.8
2023-01-20,155.5
2023-01-21,156.0
2023-01-22,156.7
2023-01-23,157.1
2023-01-24,157.6
2023-01-25,158.0
2023-01-26,157.8
2023-01-27,157.1
2023-01-28,156.55
2023-01-29,156.9
2023-01-30,157.25
2023-01-31,157.7
2023-02-01,158.1
2023-02-02,158.55
2023-02-03,159.0
2023-02-04,159.4
2023-02-05,160.1
2023-02-06,160.5
2023-02-07,160.8
2023-02-08,161.1
2023-02-09,161.55
2023-02-10,161.9
2023-02-11,162.3
2023-02-12,162.7
2023-02-13,163.0
2023-02-14,163.3
2023-02-15,163.8
2023-02-16,164.0
2023-02-17,164.3
2023-02-18,164.5
2023-02-19,164.75
2023-02-20,165.1
2023-02-21,165.4
2023-02-22,165.8
2023-02-23,166.1
2023-02-24,166.4
2023-02-25,166.8
2023-02-26,167.1
2023-02-27,167.5
2023-02-28,167.8
2023-03-01,168.1
2023-03-02,168.5
2023-03-03,168.9
2023-03-04,169.2
2023-03-05,169.5
2023-03-06,169.9
2023-03-07,170.2
2023-03-08,170.6
2023-03-09,171.0
2023-03-10,171.4
2023-03-11,171.8
2023-03-12,172.1
2023-03-13,172.5
2023-03-14,172.9
2023-03-15,173.2
2023-03-16,173.6
2023-03-17,174.0
2023-03-18,174.3
2023-03-19,174.7
2023-03-20,175.1
